"variable","countryname","countrycode","year","value"
"Land area where elevation is below 5 meters (% of total land area)","Kosovo","KSV","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","Kuwait","KWT","yr1990","8.859625"
"Land area where elevation is below 5 meters (% of total land area)","Kyrgyz Republic","KGZ","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Lao PDR","LAO","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Latvia","LVA","yr1990","3.031544"
"Land area where elevation is below 5 meters (% of total land area)","Lebanon","LBN","yr1990","1.742301"
"Land area where elevation is below 5 meters (% of total land area)","Lesotho","LSO","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Liberia","LBR","yr1990","0.3521506"
"Land area where elevation is below 5 meters (% of total land area)","Libya","LBY","yr1990","0.7758676"
"Land area where elevation is below 5 meters (% of total land area)","Liechtenstein","LIE","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Lithuania","LTU","yr1990","1.911668"
"Land area where elevation is below 5 meters (% of total land area)","Luxembourg","LUX","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Macao SAR, China","MAC","yr1990","35.38876"
"Land area where elevation is below 5 meters (% of total land area)","Macedonia, FYR","MKD","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Madagascar","MDG","yr1990","1.338625"
"Land area where elevation is below 5 meters (% of total land area)","Malawi","MWI","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Malaysia","MYS","yr1990","2.99209"
"Land area where elevation is below 5 meters (% of total land area)","Maldives","MDV","yr1990","99.99999"
"Land area where elevation is below 5 meters (% of total land area)","Mali","MLI","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Malta","MLT","yr1990","19.35084"
"Land area where elevation is below 5 meters (% of total land area)","Marshall Islands","MHL","yr1990","99.01826"
"Land area where elevation is below 5 meters (% of total land area)","Mauritania","MRT","yr1990","1.04547"
"Land area where elevation is below 5 meters (% of total land area)","Mauritius","MUS","yr1990","7.070228"
"Land area where elevation is below 5 meters (% of total land area)","Mexico","MEX","yr1990","2.941872"
"Land area where elevation is below 5 meters (% of total land area)","Micronesia, Fed. Sts.","FSM","yr1990","33.37462"
"Land area where elevation is below 5 meters (% of total land area)","Moldova","MDA","yr1990","1.302524"
"Land area where elevation is below 5 meters (% of total land area)","Monaco","MCO","yr1990","100"
"Land area where elevation is below 5 meters (% of total land area)","Mongolia","MNG","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Montenegro","MNE","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","Morocco","MAR","yr1990","0.702659"
"Land area where elevation is below 5 meters (% of total land area)","Mozambique","MOZ","yr1990","1.832448"
"Land area where elevation is below 5 meters (% of total land area)","Myanmar","MMR","yr1990","4.560159"
"Land area where elevation is below 5 meters (% of total land area)","Namibia","NAM","yr1990","0.2863445"
"Land area where elevation is below 5 meters (% of total land area)","Nepal","NPL","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Netherlands","NLD","yr1990","58.46905"
"Land area where elevation is below 5 meters (% of total land area)","New Caledonia","NCL","yr1990","8.02987"
"Land area where elevation is below 5 meters (% of total land area)","New Zealand","NZL","yr1990","2.741883"
"Land area where elevation is below 5 meters (% of total land area)","Nicaragua","NIC","yr1990","3.569984"
"Land area where elevation is below 5 meters (% of total land area)","Niger","NER","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Nigeria","NGA","yr1990","0.5417737"
"Land area where elevation is below 5 meters (% of total land area)","Northern Mariana Islands","MNP","yr1990","28.05892"
"Land area where elevation is below 5 meters (% of total land area)","Norway","NOR","yr1990","4.850657"
"Land area where elevation is below 5 meters (% of total land area)","Oman","OMN","yr1990","1.082381"
"Land area where elevation is below 5 meters (% of total land area)","Pakistan","PAK","yr1990","1.420484"
"Land area where elevation is below 5 meters (% of total land area)","Palau","PLW","yr1990","21.3706"
"Land area where elevation is below 5 meters (% of total land area)","Panama","PAN","yr1990","3.705232"
"Land area where elevation is below 5 meters (% of total land area)","Papua New Guinea","PNG","yr1990","1.840861"
"Land area where elevation is below 5 meters (% of total land area)","Paraguay","PRY","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Peru","PER","yr1990","0.37851"
"Land area where elevation is below 5 meters (% of total land area)","Philippines","PHL","yr1990","6.017094"
"Land area where elevation is below 5 meters (% of total land area)","Poland","POL","yr1990","1.680418"
"Land area where elevation is below 5 meters (% of total land area)","Portugal","PRT","yr1990","2.305464"
"Land area where elevation is below 5 meters (% of total land area)","Puerto Rico","PRI","yr1990","7.731913"
"Land area where elevation is below 5 meters (% of total land area)","Qatar","QAT","yr1990","13.39369"
"Land area where elevation is below 5 meters (% of total land area)","Romania","ROM","yr1990","2.905914"
"Land area where elevation is below 5 meters (% of total land area)","Russian Federation","RUS","yr1990","1.905153"
"Land area where elevation is below 5 meters (% of total land area)","Rwanda","RWA","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Samoa","WSM","yr1990","7.33132"
"Land area where elevation is below 5 meters (% of total land area)","San Marino","SMR","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Sao Tome and Principe","STP","yr1990","14.72324"
"Land area where elevation is below 5 meters (% of total land area)","Saudi Arabia","SAU","yr1990","0.4817074"
"Land area where elevation is below 5 meters (% of total land area)","Senegal","SEN","yr1990","4.458758"
"Land area where elevation is below 5 meters (% of total land area)","Serbia","SRB","yr1990","0.1889901"
"Land area where elevation is below 5 meters (% of total land area)","Seychelles","SYC","yr1990","43.94353"
"Land area where elevation is below 5 meters (% of total land area)","Sierra Leone","SLE","yr1990","3.003588"
"Land area where elevation is below 5 meters (% of total land area)","Singapore","SGP","yr1990","8.058207"
"Land area where elevation is below 5 meters (% of total land area)","Sint Maarten (Dutch part)","SXM","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","Slovak Republic","SVK","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Slovenia","SVN","yr1990","0.2044258"
"Land area where elevation is below 5 meters (% of total land area)","Solomon Islands","SLB","yr1990","11.53864"
"Land area where elevation is below 5 meters (% of total land area)","Somalia","SOM","yr1990","0.5667931"
"Land area where elevation is below 5 meters (% of total land area)","South Africa","ZAF","yr1990","0.1342833"
"Land area where elevation is below 5 meters (% of total land area)","South Sudan","SSD","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","Spain","ESP","yr1990","1.256672"
"Land area where elevation is below 5 meters (% of total land area)","Sri Lanka","LKA","yr1990","3.868529"
"Land area where elevation is below 5 meters (% of total land area)","St. Kitts and Nevis","KNA","yr1990","19.02063"
"Land area where elevation is below 5 meters (% of total land area)","St. Lucia","LCA","yr1990","8.024293"
"Land area where elevation is below 5 meters (% of total land area)","St. Martin (French part)","MAF","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","St. Vincent and the Grenadines","VCT","yr1990","21.95773"
"Land area where elevation is below 5 meters (% of total land area)","Sudan","SDN","yr1990","0.09428031"
"Land area where elevation is below 5 meters (% of total land area)","Suriname","SUR","yr1990","3.449275"
"Land area where elevation is below 5 meters (% of total land area)","Swaziland","SWZ","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Sweden","SWE","yr1990","1.528626"
"Land area where elevation is below 5 meters (% of total land area)","Switzerland","CHE","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Syrian Arab Republic","SYR","yr1990","0.05983744"
"Land area where elevation is below 5 meters (% of total land area)","Taiwan, China","TWN","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","Tajikistan","TJK","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Tanzania","TZA","yr1990","0.1756921"
"Land area where elevation is below 5 meters (% of total land area)","Thailand","THA","yr1990","4.167608"
"Land area where elevation is below 5 meters (% of total land area)","Timor-Leste","TMP","yr1990","2.888742"
"Land area where elevation is below 5 meters (% of total land area)","Togo","TGO","yr1990","0.5779024"
"Land area where elevation is below 5 meters (% of total land area)","Tonga","TON","yr1990","40.46064"
"Land area where elevation is below 5 meters (% of total land area)","Trinidad and Tobago","TTO","yr1990","7.978341"
"Land area where elevation is below 5 meters (% of total land area)","Tunisia","TUN","yr1990","2.791754"
"Land area where elevation is below 5 meters (% of total land area)","Turkey","TUR","yr1990","1.026591"
"Land area where elevation is below 5 meters (% of total land area)","Turkmenistan","TKM","yr1990","5.304284"
"Land area where elevation is below 5 meters (% of total land area)","Turks and Caicos Islands","TCA","yr1990","53.2727"
"Land area where elevation is below 5 meters (% of total land area)","Tuvalu","TUV","yr1990","99.99996"
"Land area where elevation is below 5 meters (% of total land area)","Uganda","UGA","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Ukraine","UKR","yr1990","1.542492"
"Land area where elevation is below 5 meters (% of total land area)","United Arab Emirates","ARE","yr1990","4.644515"
"Land area where elevation is below 5 meters (% of total land area)","United Kingdom","GBR","yr1990","7.612598"
"Land area where elevation is below 5 meters (% of total land area)","United States","USA","yr1990","1.717947"
"Land area where elevation is below 5 meters (% of total land area)","Uruguay","URY","yr1990","1.906647"
"Land area where elevation is below 5 meters (% of total land area)","Uzbekistan","UZB","yr1990","0.0525719"
"Land area where elevation is below 5 meters (% of total land area)","Vanuatu","VUT","yr1990","11.67647"
"Land area where elevation is below 5 meters (% of total land area)","Venezuela, RB","VEN","yr1990","2.286449"
"Land area where elevation is below 5 meters (% of total land area)","Vietnam","VNM","yr1990","17.50231"
"Land area where elevation is below 5 meters (% of total land area)","Virgin Islands (U.S.)","VIR","yr1990","30.95858"
"Land area where elevation is below 5 meters (% of total land area)","West Bank and Gaza","WBG","yr1990","14.84334"
"Land area where elevation is below 5 meters (% of total land area)","Yemen, Rep.","YEM","yr1990","0.5608405"
"Land area where elevation is below 5 meters (% of total land area)","Zambia","ZMB","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Zimbabwe","ZWE","yr1990","0"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Afghanistan","AFG","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Albania","ALB","yr1990","7.6849635033"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Algeria","DZA","yr1990","3.5007352584"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","American Samoa","ASM","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Andorra","ADO","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Angola","AGO","yr1990","5.6327738348"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Antigua and Barbuda","ATG","yr1990","6.9137293833"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Argentina","ARG","yr1990","5.4955366159"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Armenia","ARM","yr1990","24.3721972362"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Aruba","ABW","yr1990","11.564772426"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Australia","AUS","yr1990","7.4235459827"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Austria","AUT","yr1990","4.4838949222"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Azerbaijan","AZE","yr1990","15.5677321504"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bahamas, The","BHS","yr1990","7.4348785719"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bahrain","BHR","yr1990","12.477285522"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bangladesh","BGD","yr1990","4.6511853215"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Barbados","BRB","yr1990","7.9519012795"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belarus","BLR","yr1990","23.1478548068"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belgium","BEL","yr1990","6.6869598331"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belize","BLZ","yr1990","8.9999792115"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Benin","BEN","yr1990","10.2265536292"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bermuda","BMU","yr1990","4.2231837913"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bhutan","BTN","yr1990","30.045708973"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bolivia","BOL","yr1990","4.3028687663"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bosnia and Herzegovina","BIH","yr1990","47.2835532832"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Botswana","BWA","yr1990","4.5752258526"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Brazil","BRA","yr1990","3.9238737632"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Brunei Darussalam","BRN","yr1990","3.6510032746"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bulgaria","BGR","yr1990","13.9376340746"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Burkina Faso","BFA","yr1990","14.1033027316"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Burundi","BDI","yr1990","10.7759913122"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cabo Verde","CPV","yr1990","4.8394115353"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cambodia","KHM","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cameroon","CMR","yr1990","6.5291246464"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Canada","CAN","yr1990","10.0975544996"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cayman Islands","CYM","yr1990","3.1286741831"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Central African Republic","CAF","yr1990","13.8344974442"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Chad","TCD","yr1990","7.8701532709"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Channel Islands","CHI","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Chile","CHL","yr1990","4.8254150526"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","China","CHN","yr1990","20.6642645129"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Colombia","COL","yr1990","3.9279981543"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Comoros","COM","yr1990","3.983155305"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Congo, Dem. Rep.","ZAR","yr1990","11.1531172408"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Congo, Rep.","COG","yr1990","2.5887209208"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Costa Rica","CRI","yr1990","3.1115875426"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cote d'Ivoire","CIV","yr1990","4.9230232598"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Croatia","HRV","yr1990","4.750885223"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cuba","CUB","yr1990","5.1622890658"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Curacao","CUW","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cyprus","CYP","yr1990","4.302401692"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Czech Republic","CZE","yr1990","10.93458831"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Denmark","DNK","yr1990","4.3216043454"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Djibouti","DJI","yr1990","4.7685682208"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Dominica","DMA","yr1990","2.1750456194"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Dominican Republic","DOM","yr1990","4.7812383802"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ecuador","ECU","yr1990","3.5636333978"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Egypt, Arab Rep.","EGY","yr1990","3.9886721199"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","El Salvador","SLV","yr1990","4.3421376589"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Equatorial Guinea","GNQ","yr1990","15.4185802087"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Eritrea","ERI","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Estonia","EST","yr1990","19.8822376397"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ethiopia","ETH","yr1990","28.6321977635"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Faeroe Islands","FRO","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Fiji","FJI","yr1990","4.1764468626"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Finland","FIN","yr1990","8.5481588802"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","France","FRA","yr1990","5.4820229124"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","French Polynesia","PYF","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Gabon","GAB","yr1990","2.7287246222"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Gambia, The","GMB","yr1990","5.811362992"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Georgia","GEO","yr1990","13.4697856167"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Germany","DEU","yr1990","6.0405201066"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ghana","GHA","yr1990","8.0052950601"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Greece","GRC","yr1990","4.2744263874"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Greenland","GRL","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Grenada","GRD","yr1990","2.7418338695"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guam","GUM","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guatemala","GTM","yr1990","3.9084589346"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guinea","GIN","yr1990","16.6524746403"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guinea-Bissau","GNB","yr1990","14.3826237445"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guyana","GUY","yr1990","10.9143733607"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Haiti","HTI","yr1990","3.9902165275"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Honduras","HND","yr1990","6.339000473"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Hong Kong SAR, China","HKG","yr1990","2.35222427"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Hungary","HUN","yr1990","6.8116807614"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Iceland","ISL","yr1990","11.7440725975"
